"ID","KODE_SATUAN","URAIAN_SATUAN"
"7097","MAR","MEGAVOLT AMPERE REACTIVE"
"5567","MAM","MEGAMETRE"
"5566","MAL","MEGALITRE"
"7096","MAH","MEGAVOLT AMPERE REACTIVE HOUR"
"7095","MA","MACHINE PER UNIT"
"7094","M9","MILLION BTU PER 1000 CUBIC FOOT"
"7093","M7","MICRO-INCH"
"7092","M5","MICROCURIE"
"7091","M4","MONETARY VALUE"
"7090","M37","ACTUAL/360"
"7089","M36","30-DAY MONTH"
"7088","M35","MILLIVOLT - AMPERE"
"7087","M34","NEWTON METRE PER SQUARE METRE"
"7086","M33","MILLIMOLE PER LITRE"
"7085","M32","PASCAL SECOND PER LITRE"
"7084","M31","KILOGRAM PER KILOMETRE"
"7083","M30","RECIPROCAL VOLT - AMPERE SECOND"
"7082","M29","KILOGRAM PER KILOGRAM"
"7081","M27","MEGAHERTZ METRE"
"5764","M26","GIGAOHM PER METRE"
"5763","M25","PERCENT PER DEGREE CELSIUS"
"5762","M24","OHM KILOMETRE"
"5761","M23","NEWTON PER CENTIMETRE"
"5760","M22","MILLILITRE PER SQUARE CENTIMETRE MINUTE"
"5759","M21","RECIPROCAL KILOVOLT - AMPERE HOUR"
"5758","M20","RECPROCAL MEGAKELVIN/MEGAKELVIN 2 THE POWERMINUS 1"
"5757","M19","BEAUFORT"
"5756","M18","GIGAHERTZ METRE"
"5755","M17","KILOHERTZ METRE"
"5754","M16","CUBIC YARD PER SECOND"
"5753","M15","CUBIC YARD PER MINUTE"
"5752","M14","CUBIC YARD PER PSI"
"5751","M13","CUBIC YARD PER HOUR"
"5750","M12","CUBIC YARD PER DAY"
"5749","M11","CUBIC YARD PER DEGREE FAHRENHEIT"
"5748","M10","RECIPROCAL CUBIC YARD"
"5747","M1","MILLIGRAM PER LITRE"
"5746","M0","MAGNETIC TAPE"
"5745","LY","LINEAR YARD"
"5744","LX","LINEAR YARD PER POUND"
"5780","LUX","LUX"
"5565","LUM","LUMEN"
"5743","LUB","METRIC TON, LUBRICATING OIL"
"5561","LTR","LITRE ( 1 DM3 )"
"5779","LTN","TON (UK) OR LONG TON (US)"
"5742","LS","LUMP SUM"
"5741","LR","LAYER"
"5562","LPA","LITRE OF PURE ALCOHOL"
"5740","LP","LIQUID POUND"
"5739","LO","LOT  [UNIT OF PROCUREMENT]"
"5563","LNT","LONG TON GB, US 2/ (1,0160469 T)"
"5738","LN","LENGTH"
"5737","LM","LINEAR METRE"
"5736","LK","LINK"
"5735","LJ","LARGE SPRAY"
"5734","LI","LINEAR INCH"
"5733","LH","LABOUR HOUR"
"5732","LF","LINEAR FOOT"
"5731","LEF","LEAF"
"5730","LE","LITE"
"5729","LD","LITRE PER DAY"
"5728","LC","LINEAR CENTIMETRE"
"5639","LBT","TROY POUND, US 9373,242 G)"
"5602","LBR","POUND GB,US (0,45359237 KG)"
"5727","LAC","LACTOSE EXCESS PERCENTAGE"
"5726","LA","POUND PER CUBIC INCH"
"5725","L99","YARD PER PSI"
"5724","L98","YARD PER DEGREE FAHRENHEIT"
"5723","L96","SIDEREAL YEAR"
"5722","L95","COMMON YEAR"
"5721","L94","TON-FORCE (US SHORT)"
"5720","L93","TON (US SHORT) PER CUBIC YARD"
"5719","L92","TON (UK LONG) PER CUBIC YARD"
"5718","L91","TON SHORT PER PSI"
"5717","L90","TON SHORT PER HOUR PSI"
"5716","L89","TON SHORT PER HOUR DEGREE FAHRENHEIT"
"5715","L88","TON SHORT PER DAY"
"5714","L87","TON SHORT PER DEGREE FAHRENHEIT"
"5713","L86","TON (US SHIPPING)"
"5712","L85","TON LONG PER DAY"
"5711","L84","TON (UK SHIPPING)"
"5710","L83","TONNE PER SECOND BAR"
"5709","L82","TONNE PER SECOND KELVIN"
"5708","L81","TONNE PER SECOND"
"5707","L80","TONNE PER MINUTE BAR"
"5706","L79","TONNE PER MINUTE KELVIN"
"5705","L78","TONNE PER MINUTE"
"5704","L77","TONNE PER CUBIC METRE BAR"
"5703","L76","TONNE PER CUBIC METRE KELVIN"
"5702","L75","TONNE PER HOUR BAR"
"5701","L74","TONNE PER HOUR KELVIN"
"5700","L73","TONNE PER DAY BAR"
"5699","L72","TONNE PER DAY KELVIN"
"5698","L71","TONNE PER DAY"
"5697","L70","TONNE PER BAR"
"5696","L69","TONNE PER KELVIN"
"5695","L68","SLUG PER SECOND"
"5694","L67","SLUG PER MINUTE"
"5693","L66","SLUG PER HOUR"
"5692","L65","SLUG PER CUBIC FOOT"
"5691","L64","SLUG PER FOOT SECOND"
"5690","L63","SLUG PER DAY"
"5689","L62","QUART (US DRY)"
"5688","L61","PINT (US DRY)"
"5687","L60","PINT (US LIQUID) PER SECOND"
"5686","L59","PINT (US LIQUID) PER MINUTE"
"5685","L58","PINT (US LIQUID) PER HOUR"
"5684","L57","PINT (US LIQUID) PER DAY"
"5683","L56","PINT (UK) PER SECOND"
"5682","L55","PINT (UK) PER MINUTE"
"5681","L54","PINT (UK) PER HOUR"
"5680","L53","PINT (UK) PER DAY"
"5679","L52","PSI PER PSI"
"5678","L51","PECK (US DRY) PER SECOND"
"5677","L50","PECK (US DRY) PER MINUTE"
"5676","L49","PECK (US DRY) PER HOUR"
"5675","L48","PECK (US DRY) PER DAY"
"5674","L47","PECK (UK) PER SECOND"
"5673","L46","PECK (UK) PER MINUTE"
"5672","L45","PECK (UK) PER HOUR"
"5671","L44","PECK (UK) PER DAY"
"5670","L43","PECK (UK)"
"5669","L42","PIKOSIEMENS PER METRE"
"5668","L41","OUNCE (AVOIRDUPOIS) FORCE INCH"
"5667","L40","OUNCE (AVOIRDUPOIS) FORCE"
"5666","L39","OUNCE (AVOIRDUPOIS) PER CUBIC INCH"
